net,length_um
Module2.RegisterFile\[8\]\[1\],570.38
net31,564.17
net34,563.99
_0366_,559.35
_0257_,558.42
_0306_,554.34
_0157_,551.6
_0332_,550.71
_0132_,550.7
_0543_,547.35
_0356_,546.86
Module2.RegisterFile\[6\]\[2\],546.56
_0413_,546.12
Module2.RegisterFile\[0\]\[3\],544.23
Module2.RegisterFile\[24\]\[2\],543.72
Module2.RegisterFile\[23\]\[1\],543.16
_0613_,542.36
_0592_,541.84
Module2.RegisterFile\[14\]\[2\],541.72
_0462_,539.15
Module2.RegisterFile\[13\]\[2\],538.84
_0066_,538.36
net26,534.28
_0154_,533.96
Module2.RegisterFile\[24\]\[1\],533.04
Module2.RegisterFile\[25\]\[0\],531.34
_0295_,528.94
Module2.RegisterFile\[9\]\[1\],527.22
_0160_,527.19
net9,525.81
Module2.RegisterFile\[16\]\[3\],523.82
Module2.RegisterFile\[22\]\[0\],522.795
_0120_,521.14
Module2.RegisterFile\[1\]\[2\],521.02
_0158_,520.88
_0352_,519.54
_0455_,518.84
net37,517.97
_0389_,517.1
_0581_,516.37
_0412_,516.3
_0485_,515.135
_0541_,512.84
Module2.RegisterFile\[31\]\[0\],512.195
Module2.RegisterFile\[17\]\[3\],511.82
Module2.RegisterFile\[16\]\[2\],511.34
_0147_,511.155
_0550_,510.67
Module2.RegisterFile\[2\]\[0\],507.4
Module2.RegisterFile\[5\]\[1\],507.24
_0111_,507.135
_0382_,506.74
_0263_,506.69
Module2.RegisterFile\[8\]\[3\],505.54
Module2.RegisterFile\[30\]\[2\],505.46
_0316_,501.58
_0589_,501.21
Module2.RegisterFile\[30\]\[0\],499.6
Module2.RegisterFile\[21\]\[0\],499.2
Module2.RegisterFile\[15\]\[1\],497.76
_0376_,496.42
Module2.RegisterFile\[29\]\[0\],496.22
Module2.RegisterFile\[5\]\[2\],494.6
_0555_,492.63
Module2.RegisterFile\[16\]\[1\],491.32
_0065_,485.6
_0325_,484.94
_0009_,484.19
_0241_,483.66
Module2.RegisterFile\[31\]\[2\],483
_0166_,481.135
Module2.RegisterFile\[25\]\[2\],479.88
_0560_,479.18
_0228_,478.43
_0156_,478.32
Module2.RegisterFile\[20\]\[0\],478.16
_0523_,478.01
Module2.RegisterFile\[13\]\[0\],477.54
_0116_,476.48
Module2.RegisterFile\[26\]\[2\],475.54
Module2.RegisterFile\[22\]\[2\],474.68
_0165_,473.2
Module2.RegisterFile\[30\]\[1\],472.04
_0337_,472.04
_0096_,471.45
Module2.RegisterFile\[0\]\[0\],469.64
_0564_,469.49
_0288_,468.71
_0360_,468.15
_0610_,465.76
_0601_,465.32
_0407_,463.78
_0098_,463.06
_0410_,461.79
_0226_,461.52
_0277_,461.32
_0030_,461.2
_0002_,460.45
_0122_,457.445
_0369_,455.78
_0536_,455.59
_0215_,455.33
_0432_,454.08
_0359_,453.91
_0136_,452.855
Module2.RegisterFile\[18\]\[2\],452.72
net41,452.67
_0298_,452.66
_0539_,452.64
_0429_,452.37
_0431_,451.57
_0385_,450.79
Module2.RegisterFile\[15\]\[3\],450.48
_0448_,450.12
_0482_,449.98
_0262_,449.105
_0188_,448.19
_0415_,446.58
Module2.RegisterFile\[2\]\[3\],446.3
_0175_,444.94
_0184_,444.89
_0417_,444.42
_0217_,444.26
_0117_,442.32
Module2.RegisterFile\[15\]\[2\],440.455
Module2.RegisterFile\[28\]\[0\],440.33
Module2.RegisterFile\[27\]\[2\],440.24
_0301_,439.62
Module2.RegisterFile\[31\]\[1\],439.44
Module2.RegisterFile\[23\]\[3\],438.39
Module2.RegisterFile\[11\]\[2\],437.88
_0026_,436.72
_0271_,436.46
_0127_,436.18
_0153_,436.06
_0290_,433.08
_0267_,430.4
_0378_,429.23
_0229_,428.95
net30,427.4
_0238_,425.04
_0239_,424.76
_0598_,424.52
_0466_,424.1
_0049_,421.9
Module2.RegisterFile\[4\]\[2\],420.92
_0222_,420.76
net39,418.96
_0551_,418.005
_0019_,417.76
_0615_,417.38
_0125_,417.18
clk,416.96
_0137_,415.52
_0338_,414.98
_0234_,413.93
_0170_,413.35
_0025_,412.88
_0148_,412.195
_0620_,411.11
_0177_,410.27
_0365_,410.16
_0569_,409.58
_0475_,408.12
Module2.RegisterFile\[26\]\[1\],408.04
Module2.RegisterFile\[14\]\[0\],405.6
_0544_,404.24
_0017_,404.02
_0203_,403.92
Module2.RegisterFile\[19\]\[3\],403.76
_0567_,402.84
_0289_,402.74
_0162_,401.6
_0537_,400.88
_0573_,400.04
_0102_,399.58
Module1.outputC\[3\],398.6
_0590_,397.81
_0379_,396.66
_0602_,394.51
_0479_,394.5
_0077_,394.245
_0259_,393.15
_0074_,391.14
_0152_,388.96
_0336_,388.8
_0343_,388.02
_0011_,387.86
_0348_,385.12
_0390_,384.46
_0441_,384
_0276_,383.96
_0091_,382.62
Module2.RegisterFile\[20\]\[3\],382.54
Module2.RegisterFile\[27\]\[1\],380.94
_0236_,379.98
Module2.RegisterFile\[2\]\[2\],378.1
A2[1],376.29
_0044_,376.1
_0047_,375.76
_0522_,374.82
_0218_,372.74
_0617_,372.44
_0121_,370.67
_0527_,369.82
_0273_,369.7
_0333_,369.12
_0464_,368.34
_0063_,367.52
_0100_,366.88
_0213_,362.58
_0176_,360.86
_0029_,360.365
_0012_,358.82
_0311_,358.63
_0227_,358.57
_0167_,357.34
_0484_,357.34
_0219_,356.86
_0145_,356.6
Module1.outputC\[0\],356.345
_0004_,356.2
_0159_,356.2
_0185_,355.42
_0420_,354.84
_0603_,354.695
_0128_,354.68
_0180_,354.58
_0254_,354.04
Module1.outputC\[1\],353.96
_0155_,352.78
_0272_,352.76
_0495_,351.86
_0562_,351.48
_0588_,351.17
_0394_,351.13
_0433_,349.6
_0502_,347.75
Module2.RegisterFile\[21\]\[3\],344.46
_0161_,344.14
_0594_,342.78
_0071_,342.52
_0312_,341.93
_0088_,340.74
_0216_,340.42
_0038_,338.98
Module2.RegisterFile\[28\]\[1\],336.19
_0087_,335.34
_0014_,334.8
_0607_,331.7
_0512_,331.38
_0279_,329.8
Module2.RegisterFile\[29\]\[1\],329.2
_0383_,327.18
clknet_4_8__leaf_clk,326.48
_0377_,325.5
_0583_,324.945
_0335_,324.4
_0112_,324.17
_0559_,323.74
_0470_,322.44
_0532_,320.6
_0552_,320.58
_0223_,320.1
_0372_,319.41
_0264_,318.78
_0266_,318.24
clknet_4_13__leaf_clk,317.68
_0242_,316.88
_0244_,316.42
_0481_,316.33
_0078_,315.88
_0424_,315.63
_0172_,314.98
_0535_,314.66
_0109_,314.16
_0563_,313.96
_0530_,313.26
_0245_,311.68
clknet_4_4__leaf_clk,311.02
Module2.RegisterFile\[23\]\[2\],310.03
_0076_,309.865
_0611_,308.74
_0237_,308.7
_0103_,308.66
_0278_,307.8
net38,307.72
_0187_,306.2
_0046_,305.66
_0297_,305.1
_0521_,304.3
_0548_,304.14
clknet_4_14__leaf_clk,304.135
_0446_,303.94
_0570_,303.7
_0476_,301.8
_0439_,301.68
_0330_,301.34
_0269_,300.63
clknet_4_0__leaf_clk,298.88
_0327_,298.16
_0474_,297.94
_0549_,297.86
_0280_,297.345
_0139_,297.105
_0212_,296.98
_0436_,296.96
_0553_,296.92
_0480_,296.75
clknet_4_11__leaf_clk,296.275
_0606_,293.9
clknet_4_10__leaf_clk,293.54
_0384_,293.45
_0008_,293.26
_0614_,292.9
_0048_,292.58
_0355_,292.4
_0387_,292.26
_0331_,291.93
_0118_,291.38
_0258_,290.2
_0224_,289.29
_0434_,287.56
_0578_,287.21
_0043_,286.8
_0225_,286.8
_0367_,284.04
_0101_,283.97
_0291_,282.74
_0073_,282.18
_0471_,280.8
_0134_,280.025
clknet_4_5__leaf_clk,279.06
_0597_,277.86
_0409_,276.76
_0207_,276.46
_0494_,275.64
_0082_,275.32
_0080_,274.72
_0450_,274.12
_0547_,273.66
_0214_,273.52
_0516_,273.12
_0240_,271.465
_0179_,271.2
_0183_,270.54
_0220_,270.28
_0003_,269.9
_0104_,268.325
_0221_,268.3
_0129_,268.04
_0585_,267.64
_0208_,266.86
_0508_,265.32
_0425_,263.64
_0168_,263.04
_0605_,262.3
clknet_4_9__leaf_clk,262.04
_0260_,261.98
